Cpd,Mass,RT,Quality Score,m/z,Show/Hide,Label,Avg Mass,Std Dev,Base Peak,Polarity,Max Z,Min Z,Start,End,Height,Width,Vol,Vol %,Ions,Z Count,Saturated,Group,Cpds/Group,File,Algorithm
2527,401.8735,18.333,97.3,400.8663,TRUE,Cpd 2527: 18.333,401.9679,0.0015,400.8663,Negative,-1,-1,18.201,18.642,46343,0.194,514300,0.13,5,1,,488,14,NZ_180709_s07.d,Find by Molecular Feature
2526,441.8656,18.332,100,440.8583,TRUE,Cpd 2526: 18.332,441.9971,,440.8583,Negative,-1,-1,18.218,18.517,22075,0.161,223972,0.06,3,1,,488,14,NZ_180709_s07.d,Find by Molecular Feature
2525,737.7763,18.331,100,367.8809,TRUE,Cpd 2525: 18.331,738.0435,,367.8809,Negative,-2,-2,18.226,18.592,8698,0.165,80470,0.02,3,1,,488,14,NZ_180709_s07.d,Find by Molecular Feature
2524,1161.6335,18.331,90.8,579.8095,TRUE,Cpd 2524: 18.331,1162.1072,,579.8095,Negative,-2,-2,18.251,18.459,2127,0.112,15535,0,3,1,,488,14,NZ_180709_s07.d,Find by Molecular Feature
2523,547.8295,18.33,100,546.8222,TRUE,Cpd 2523: 18.330,548.0102,,546.8222,Negative,-1,-1,18.226,18.584,6808,0.181,67917,0.02,3,1,,488,14,NZ_180709_s07.d,Find by Molecular Feature
2522,507.8373,18.33,100,506.8301,TRUE,Cpd 2522: 18.330,507.9877,,506.8301,Negative,-1,-1,18.218,18.526,15617,0.16,148214,0.04,3,1,,488,14,NZ_180709_s07.d,Find by Molecular Feature
2521,613.8015,18.329,100,612.7943,TRUE,Cpd 2521: 18.329,613.9761,,612.7943,Negative,-1,-1,18.218,18.534,12516,0.157,120921,0.03,3,1,,488,14,NZ_180709_s07.d,Find by Molecular Feature
2520,931.6946,18.329,100,930.6873,TRUE,Cpd 2520: 18.329,931.9129,,930.6873,Negative,-1,-1,18.226,18.542,6365,0.154,56291,0.01,3,1,,488,14,NZ_180709_s07.d,Find by Molecular Feature
2519,1267.5981,18.329,66.1,632.7918,TRUE,Cpd 2519: 18.329,1267.7476,,632.7918,Negative,-2,-2,18.243,18.459,2235,0.126,14137,0,2,1,,488,14,NZ_180709_s07.d,Find by Molecular Feature
2518,1439.5321,18.328,100,718.7588,TRUE,Cpd 2518: 18.328,1439.8517,,718.7588,Negative,-2,-2,18.234,18.551,4133,0.163,35226,0.01,3,1,,488,14,NZ_180709_s07.d,Find by Molecular Feature
2517,2075.3183,18.327,53.7,1036.6519,TRUE,Cpd 2517: 18.327,2075.7491,,1036.6519,Negative,-2,-2,18.268,18.367,2942,0.066,14300,0,3,1,,488,14,NZ_180709_s07.d,Find by Molecular Feature
2516,1121.6408,18.326,66.9,559.8131,TRUE,Cpd 2516: 18.326,1121.8292,,559.8131,Negative,-2,-2,18.251,18.459,1962,0.121,13860,0,2,1,,488,14,NZ_180709_s07.d,Find by Molecular Feature
2515,1333.5698,18.326,68.4,665.7776,TRUE,Cpd 2515: 18.326,1333.7257,,665.7776,Negative,-2,-2,18.259,18.442,2077,0.114,12937,0,2,1,,488,14,NZ_180709_s07.d,Find by Molecular Feature
2514,825.7298,18.326,100,824.7225,TRUE,Cpd 2514: 18.326,825.9479,,824.7225,Negative,-1,-1,18.234,18.434,10385,0.099,82213,0.02,3,1,,488,14,NZ_180709_s07.d,Find by Molecular Feature
2513,454.856,18.323,70.1,908.7036,TRUE,Cpd 2513: 18.323,454.856,0.001,908.7036,Negative,-1,-1,18.268,18.442,1053,0.107,16021,0,2,1,,487,3,NZ_180709_s07.d,Find by Molecular Feature
2512,1545.4971,18.321,74.4,771.7413,TRUE,Cpd 2512: 18.321,1545.7287,,771.7413,Negative,-2,-2,18.268,18.417,1368,0.108,8517,0,2,1,,487,3,NZ_180709_s07.d,Find by Molecular Feature
2511,379.9271,18.321,68.8,378.9198,TRUE,Cpd 2511: 18.321,380.0377,,378.9198,Negative,-1,-1,18.209,18.484,3650,0.165,33782,0.01,2,1,,487,3,NZ_180709_s07.d,Find by Molecular Feature
2510,351.9958,18.043,60.3,350.9885,TRUE,Cpd 2510: 18.043,352.0748,,350.9885,Negative,-1,-1,17.993,18.251,51031,0.15,392997,0.1,3,1,,486,1,NZ_180709_s07.d,Find by Molecular Feature
2509,631.3686,18.001,100,630.3613,TRUE,Cpd 2509: 18.001,631.6802,,630.3613,Negative,-1,-1,17.86,18.143,2108,0.161,28429,0.01,2,1,,485,1,NZ_180709_s07.d,Find by Molecular Feature
2508,419.9827,17.95,68.4,418.9755,TRUE,Cpd 2508: 17.950,420.097,,418.9755,Negative,-1,-1,17.743,18.151,23564,0.206,328227,0.08,3,1,,484,1,NZ_180709_s07.d,Find by Molecular Feature
2507,351.9958,17.94,56.8,350.9885,TRUE,Cpd 2507: 17.940,352.0879,,350.9885,Negative,-1,-1,17.785,17.984,49837,0.126,350788,0.09,3,1,,483,1,NZ_180709_s07.d,Find by Molecular Feature
2506,582.3544,17.891,100,581.3471,TRUE,Cpd 2506: 17.891,582.8582,,581.3471,Negative,-1,-1,17.785,17.951,1756,0.086,11226,0,3,1,,482,4,NZ_180709_s07.d,Find by Molecular Feature
2505,471.9751,17.889,58.3,470.9678,TRUE,Cpd 2505: 17.889,472.0846,,470.9678,Negative,-1,-1,17.651,18.026,12602,0.178,142600,0.04,2,1,,482,4,NZ_180709_s07.d,Find by Molecular Feature
2504,438.2933,17.888,76.1,437.286,TRUE,Cpd 2504: 17.888,438.4717,,437.286,Negative,-1,-1,17.751,17.976,3999,0.091,23913,0.01,2,1,,482,4,NZ_180709_s07.d,Find by Molecular Feature
2503,538.3637,17.885,100,537.3564,TRUE,Cpd 2503: 17.885,538.8802,,537.3564,Negative,-1,-1,17.801,17.951,2329,0.078,13950,0,3,1,,482,4,NZ_180709_s07.d,Find by Molecular Feature
2502,392.2913,17.853,59.1,391.284,TRUE,Cpd 2502: 17.853,392.6539,,391.284,Negative,-1,-1,17.776,17.951,5310,0.104,44746,0.01,3,1,,481,3,NZ_180709_s07.d,Find by Molecular Feature
2501,460.3737,17.851,60,459.3664,TRUE,Cpd 2501: 17.851,460.6049,,459.3664,Negative,-1,-1,17.801,17.935,959,0.092,6162,0,2,1,,481,3,NZ_180709_s07.d,Find by Molecular Feature
2500,1696.0554,17.85,57.2,423.0066,TRUE,Cpd 2500: 17.850,1696.5694,,423.2634,Negative,-4,-4,17.793,17.951,978,0.11,11265,0,2,1,,481,3,NZ_180709_s07.d,Find by Molecular Feature
2499,717.5261,17.82,60.8,716.5189,TRUE,Cpd 2499: 17.820,717.8883,,716.5189,Negative,-1,-1,17.743,17.876,849,0.084,4656,0,2,1,,480,1,NZ_180709_s07.d,Find by Molecular Feature
2498,764.5767,17.787,85.5,763.5695,TRUE,Cpd 2498: 17.787,765.3976,,763.5695,Negative,-1,-1,17.668,17.893,883,0.125,12392,0,3,1,,479,1,NZ_180709_s07.d,Find by Molecular Feature
2497,864.6476,17.776,82.4,863.6403,TRUE,Cpd 2497: 17.776,865.4953,,863.6403,Negative,-1,-1,17.635,17.893,991,0.149,17607,0,3,1,,478,2,NZ_180709_s07.d,Find by Molecular Feature
2496,740.5745,17.772,55.7,739.5673,TRUE,Cpd 2496: 17.772,740.9404,,739.5673,Negative,-1,-1,17.71,17.868,1062,0.105,8520,0,2,1,,478,2,NZ_180709_s07.d,Find by Molecular Feature
2495,1362.949,17.76,57.2,1361.9418,TRUE,Cpd 2495: 17.760,1363.5009,0.0003,1361.9418,Negative,-1,-2,17.518,17.91,1681,0.18,38839,0.01,5,2,,477,1,NZ_180709_s07.d,Find by Molecular Feature
2494,460.3736,17.692,50.9,459.3663,TRUE,Cpd 2494: 17.692,460.6336,,459.3663,Negative,-1,-1,17.61,17.793,1303,0.122,12431,0,2,1,,476,1,NZ_180709_s07.d,Find by Molecular Feature
2493,538.3622,17.676,52.4,537.355,TRUE,Cpd 2493: 17.676,539.0525,,537.355,Negative,-1,-1,17.51,17.793,2383,0.139,22457,0.01,3,1,,475,4,NZ_180709_s07.d,Find by Molecular Feature
2492,720.6073,17.674,77.4,359.2964,TRUE,Cpd 2492: 17.674,721.046,,359.2964,Negative,-2,-2,17.435,17.976,5180,0.309,114706,0.03,3,1,,475,4,NZ_180709_s07.d,Find by Molecular Feature
2491,446.3586,17.673,63.1,445.3513,TRUE,Cpd 2491: 17.673,446.9441,,445.3513,Negative,-1,-1,17.385,17.951,31600,0.231,564585,0.14,5,1,,475,4,NZ_180709_s07.d,Find by Molecular Feature
2490,1374.9486,17.673,52.5,1373.9417,TRUE,Cpd 2490: 17.673,1376.41,0.0022,1375.9538,Negative,-1,-2,17.493,17.893,1499,0.177,56571,0.01,10,2,,475,4,NZ_180709_s07.d,Find by Molecular Feature
2489,490.365,17.66,50.6,489.3577,TRUE,Cpd 2489: 17.660,490.7463,,489.3577,Negative,-1,-1,17.485,17.801,1888,0.196,32410,0.01,2,1,,474,3,NZ_180709_s07.d,Find by Molecular Feature
2488,582.3565,17.657,68.2,581.3492,TRUE,Cpd 2488: 17.657,582.9346,,581.3492,Negative,-1,-1,17.502,17.776,1954,0.158,20770,0.01,3,1,,474,3,NZ_180709_s07.d,Find by Molecular Feature
2487,438.2928,17.654,51.5,437.2855,TRUE,Cpd 2487: 17.654,438.7256,,437.2855,Negative,-1,-1,17.502,17.768,4201,0.165,48527,0.01,3,1,,474,3,NZ_180709_s07.d,Find by Molecular Feature
2486,631.3628,17.642,50.1,630.3555,TRUE,Cpd 2486: 17.642,631.7451,,630.3555,Negative,-1,-1,17.576,17.701,687,0.092,5448,0,2,1,,473,3,NZ_180709_s07.d,Find by Molecular Feature
2485,410.3156,17.64,100,409.3083,TRUE,Cpd 2485: 17.640,410.5962,,409.3083,Negative,-1,-1,17.585,17.701,2015,0.06,9298,0,2,1,,473,3,NZ_180709_s07.d,Find by Molecular Feature
2484,1386.9496,17.638,93,1385.9412,TRUE,Cpd 2484: 17.638,1387.8151,0.0034,1385.9412,Negative,-1,-2,17.485,17.768,824,0.129,17970,0,6,2,,473,3,NZ_180709_s07.d,Find by Molecular Feature
2483,691.5101,17.587,93.1,690.5028,TRUE,Cpd 2483: 17.587,691.8082,,690.5028,Negative,-1,-1,17.518,17.635,1352,0.075,8348,0,2,1,,472,1,NZ_180709_s07.d,Find by Molecular Feature
2482,1548.3086,17.552,58.5,773.147,TRUE,Cpd 2482: 17.552,1548.8165,,773.6281,Negative,-2,-2,17.427,17.618,617,0.109,5335,0,2,1,,471,1,NZ_180709_s07.d,Find by Molecular Feature
2481,741.5271,17.498,99.8,740.5199,TRUE,Cpd 2481: 17.498,742.1351,,740.5199,Negative,-1,-1,17.402,17.61,2076,0.105,20302,0.01,3,1,,470,1,NZ_180709_s07.d,Find by Molecular Feature
2480,400.2776,17.456,57.1,399.2703,TRUE,Cpd 2480: 17.456,400.4914,,399.2703,Negative,-1,-1,17.418,17.518,1172,0.073,5775,0,2,1,,469,1,NZ_180709_s07.d,Find by Molecular Feature
2479,834.6036,17.435,70.2,833.5963,TRUE,Cpd 2479: 17.435,835.0002,,833.5963,Negative,-1,-1,17.377,17.51,876,0.091,6905,0,2,1,,468,1,NZ_180709_s07.d,Find by Molecular Feature
2478,703.5104,17.425,51.1,702.5032,TRUE,Cpd 2478: 17.425,703.8115,,702.5032,Negative,-1,-1,17.352,17.485,1344,0.072,8288,0,2,1,,467,2,NZ_180709_s07.d,Find by Molecular Feature
2477,731.5436,17.425,94.1,730.5364,TRUE,Cpd 2477: 17.425,731.953,,730.5364,Negative,-1,-1,17.285,17.518,978,0.135,11602,0,2,1,,467,2,NZ_180709_s07.d,Find by Molecular Feature
2476,691.5104,17.409,100,690.5031,TRUE,Cpd 2476: 17.409,691.763,,690.5031,Negative,-1,-1,17.318,17.518,4565,0.104,35124,0.01,2,1,,466,1,NZ_180709_s07.d,Find by Molecular Feature
2475,396.3952,17.371,52.3,395.3879,TRUE,Cpd 2475: 17.371,396.675,,395.3879,Negative,-1,-1,17.343,17.41,951,0.054,3858,0,2,1,,465,3,NZ_180709_s07.d,Find by Molecular Feature
2474,414.2362,17.367,54.1,413.229,TRUE,Cpd 2474: 17.367,414.6156,,413.229,Negative,-1,-1,17.293,17.46,1511,0.057,5521,0,3,1,,465,3,NZ_180709_s07.d,Find by Molecular Feature
2473,1696.2308,17.363,67.5,847.1081,TRUE,Cpd 2473: 17.363,1697.1923,,847.6086,Negative,-2,-2,17.26,17.443,874,0.111,8480,0,3,1,,465,3,NZ_180709_s07.d,Find by Molecular Feature
2472,640.3528,17.328,54.3,639.3455,TRUE,Cpd 2472: 17.328,640.649,,639.3455,Negative,-1,-1,17.243,17.36,2240,0.063,5779,0,2,1,,464,1,NZ_180709_s07.d,Find by Molecular Feature
2471,824.1416,17.285,65.7,823.1344,TRUE,Cpd 2471: 17.285,824.6281,,823.1344,Negative,-1,-1,17.252,17.327,645,0.045,2875,0,2,1,,463,1,NZ_180709_s07.d,Find by Molecular Feature
2470,412.2421,17.271,52.3,411.2348,TRUE,Cpd 2470: 17.271,413.4405,,413.228,Negative,-1,-1,17.202,17.343,1756,0.089,17817,0,5,1,,462,3,NZ_180709_s07.d,Find by Molecular Feature
2469,703.5106,17.269,90.9,702.5033,TRUE,Cpd 2469: 17.269,703.758,,702.5033,Negative,-1,-1,17.16,17.352,1844,0.098,10989,0,2,1,,462,3,NZ_180709_s07.d,Find by Molecular Feature
2468,715.5111,17.268,100,714.5038,TRUE,Cpd 2468: 17.268,715.9367,,714.5038,Negative,-1,-1,17.143,17.402,7104,0.106,64609,0.02,3,1,,462,3,NZ_180709_s07.d,Find by Molecular Feature
2467,1424.2372,17.163,61.9,473.7384,TRUE,Cpd 2467: 17.163,1425.1409,,474.0827,Negative,-3,-3,17.01,17.227,629,0.096,6625,0,3,1,,461,1,NZ_180709_s07.d,Find by Molecular Feature
2466,703.5109,17.099,85.2,702.5036,TRUE,Cpd 2466: 17.099,703.8852,,702.5036,Negative,-1,-1,17.052,17.227,678,0.089,3554,0,2,1,,460,1,NZ_180709_s07.d,Find by Molecular Feature
2465,731.5113,17.012,98.6,730.5041,TRUE,Cpd 2465: 17.012,731.8941,,730.5041,Negative,-1,-1,16.96,17.085,1320,0.075,10052,0,2,1,,459,2,NZ_180709_s07.d,Find by Molecular Feature
2464,677.4949,17.01,100,676.4876,TRUE,Cpd 2464: 17.010,677.9822,,676.4876,Negative,-1,-1,16.927,17.102,4115,0.098,41693,0.01,3,1,,459,2,NZ_180709_s07.d,Find by Molecular Feature
2463,368.3627,16.96,97.8,367.3555,TRUE,Cpd 2463: 16.960,368.5622,,367.3555,Negative,-1,-1,16.885,17.01,1738,0.065,7568,0,2,1,,458,1,NZ_180709_s07.d,Find by Molecular Feature
2462,439.2902,16.938,75.6,438.283,TRUE,Cpd 2462: 16.938,439.5863,,438.283,Negative,-1,-1,16.852,17.01,906,0.094,4668,0,2,1,,457,1,NZ_180709_s07.d,Find by Molecular Feature
2461,755.5052,16.843,78.2,754.4979,TRUE,Cpd 2461: 16.843,755.8756,,754.4979,Negative,-1,-1,16.794,16.994,1102,0.107,8822,0,2,1,,456,1,NZ_180709_s07.d,Find by Molecular Feature
2460,937.9631,16.838,100,936.9558,TRUE,Cpd 2460: 16.838,938.9161,,936.9558,Negative,-1,-1,16.752,16.944,6091,0.079,53524,0.01,4,1,,455,2,NZ_180709_s07.d,Find by Molecular Feature
2459,677.4952,16.834,100,676.488,TRUE,Cpd 2459: 16.834,677.9841,,676.488,Negative,-1,-1,16.744,16.927,7384,0.097,70476,0.02,3,1,,455,2,NZ_180709_s07.d,Find by Molecular Feature
2458,384.3574,16.779,97.8,383.3501,TRUE,Cpd 2458: 16.779,384.6044,,383.3501,Negative,-1,-1,16.727,16.86,2285,0.071,11406,0,2,1,,454,1,NZ_180709_s07.d,Find by Molecular Feature
