Cpd,Mass,Avg Mass,RT,Vol,Quality Score,m/z,Show/Hide,Label,Std Dev,Base Peak,Polarity,Max Z,Min Z,Start,End,Height,Width,Vol %,Ions,Z Count,Saturated,Group,Cpds/Group,File,Algorithm
1289,12893.9202,12895.5727,10.457,8603,80,2577.7768,TRUE,Cpd 1289: 10.457,,2578.1807,Negative,-5,-5,10.42,10.503,810,0.051,0,4,1,,319,9,NZ_180830_s28.d,Find by Molecular Feature
1315,12813.8039,12817.4004,10.461,42612,85,2561.7535,TRUE,Cpd 1315: 10.461,,2562.3499,Negative,-5,-5,10.411,10.528,1843,0.064,0.01,8,1,,320,49,NZ_180830_s28.d,Find by Molecular Feature
1305,12812.8114,12817.3355,10.46,25385,80,2134.4613,TRUE,Cpd 1305: 10.460,,2134.9628,Negative,-6,-6,10.411,10.511,998,0.056,0,10,1,,320,49,NZ_180830_s28.d,Find by Molecular Feature
1283,12793.8014,12795.9666,10.453,16304,85.4,1420.5262,TRUE,Cpd 1283: 10.453,,1420.6354,Negative,-9,-9,10.42,10.52,1528,0.05,0,6,1,,319,9,NZ_180830_s28.d,Find by Molecular Feature
1293,12791.7799,12794.7068,10.459,59470,80,1826.3893,TRUE,Cpd 1293: 10.459,0.0053,1826.8268,Negative,-5,-7,10.411,10.528,1732,0.059,0.01,13,2,,320,49,NZ_180830_s28.d,Find by Molecular Feature
1294,9450.3389,9451.6384,10.459,11107,80,786.521,TRUE,Cpd 1294: 10.459,,786.596,Negative,-12,-12,10.403,10.511,1514,0.063,0,4,1,,320,49,NZ_180830_s28.d,Find by Molecular Feature
1468,7208.0777,7212.0167,12.288,199517,80,654.2722,TRUE,Cpd 1468: 12.288,0.0129,654.6366,Negative,-10,-11,12.06,12.501,4293,0.164,0.03,14,2,,366,1,NZ_180830_s28.d,Find by Molecular Feature
1513,7202.0506,7204.1821,12.803,124193,80,799.2199,TRUE,Cpd 1513: 12.803,0.0154,799.332,Negative,-3,-9,12.618,12.943,1485,0.125,0.02,31,6,,375,2,NZ_180830_s28.d,Find by Molecular Feature
1514,7200.0954,7204.0106,12.809,120737,80,719.003,TRUE,Cpd 1514: 12.809,0.0347,719.2983,Negative,-10,-12,12.618,12.968,2864,0.111,0.02,17,2,,376,1,NZ_180830_s28.d,Find by Molecular Feature
1483,7195.0526,7198.5847,12.315,1068876,80,718.4979,TRUE,Cpd 1483: 12.315,0.0058,718.7973,Negative,-3,-12,12.035,12.535,6577,0.174,0.14,68,8,,368,32,NZ_180830_s28.d,Find by Molecular Feature
1476,7193.1562,7197.9805,12.314,298534,80,652.916,TRUE,Cpd 1476: 12.314,,653.3608,Negative,-11,-11,12.102,12.476,6825,0.13,0.04,11,1,,368,32,NZ_180830_s28.d,Find by Molecular Feature
1410,7190.0886,7192.0604,11.336,32216,80,1796.5152,TRUE,Cpd 1410: 11.336,0.0056,1796.7599,Negative,-4,-5,11.269,11.411,1255,0.074,0,10,2,,347,4,NZ_180830_s28.d,Find by Molecular Feature
1407,7189.0636,7191.7398,11.332,60403,80,598.0809,TRUE,Cpd 1407: 11.332,0.0299,598.3307,Negative,-3,-12,11.136,11.485,1423,0.093,0.01,17,3,,347,4,NZ_180830_s28.d,Find by Molecular Feature
1507,7182.0788,7184.4582,12.394,1140510,84,651.9089,TRUE,Cpd 1507: 12.394,0.0013,652.0002,Negative,-10,-11,12.102,12.585,12291,0.191,0.15,13,2,,372,1,NZ_180830_s28.d,Find by Molecular Feature
1509,7180.0805,7183.3824,12.412,158120,80,796.7797,TRUE,Cpd 1509: 12.412,0.0131,797.1128,Negative,-8,-9,12.152,12.576,2854,0.161,0.02,14,2,,373,2,NZ_180830_s28.d,Find by Molecular Feature
1512,7179.0728,7182.606,12.798,2919670,80,716.8988,TRUE,Cpd 1512: 12.798,0.0119,717.2,Negative,-3,-13,12.543,13.034,22885,0.152,0.39,93,11,,375,2,NZ_180830_s28.d,Find by Molecular Feature
1492,7173.0738,7176.2638,12.316,7182505,100,651.0908,TRUE,Cpd 1492: 12.316,0.0079,651.3624,Negative,-3,-11,12.035,12.593,91624,0.123,0.96,39,5,,368,32,NZ_180830_s28.d,Find by Molecular Feature
1489,7171.0877,7172.2216,12.316,1504461,91.8,795.7786,TRUE,Cpd 1489: 12.316,0.0131,796.3331,Negative,-8,-10,12.118,12.518,24536,0.124,0.2,25,3,,368,32,NZ_180830_s28.d,Find by Molecular Feature
1470,7169.0859,7171.8063,12.31,484796,80,1023.1502,TRUE,Cpd 1470: 12.310,0.0214,1024.0014,Negative,-5,-8,12.077,12.485,9255,0.15,0.07,25,4,,367,2,NZ_180830_s28.d,Find by Molecular Feature
1463,7168.6978,7172.6427,12.179,1720606,80,650.6925,TRUE,Cpd 1463: 12.179,,650.9927,Negative,-11,-11,11.868,12.393,45455,0.133,0.23,9,1,,364,4,NZ_180830_s28.d,Find by Molecular Feature
1409,7168.0808,7170.4467,11.336,65698,95.3,1432.6097,TRUE,Cpd 1409: 11.336,0.0087,1433.0109,Negative,-3,-5,11.252,11.427,1981,0.084,0.01,13,2,,347,4,NZ_180830_s28.d,Find by Molecular Feature
1488,7168.0585,7175.6291,12.316,1068399,80,596.3309,TRUE,Cpd 1488: 12.316,,596.9981,Negative,-12,-12,12.11,12.485,25420,0.127,0.14,14,1,,368,32,NZ_180830_s28.d,Find by Molecular Feature
1408,7167.0713,7170.6566,11.335,1918923,100,650.5454,TRUE,Cpd 1408: 11.335,0.015,650.8177,Negative,-4,-13,11.127,11.485,24359,0.102,0.26,82,9,,347,4,NZ_180830_s28.d,Find by Molecular Feature
1458,7153.0882,7154.0822,12.156,38847,82.3,2383.3555,TRUE,Cpd 1458: 12.156,,2383.6896,Negative,-3,-3,12.018,12.21,3120,0.106,0.01,3,1,,362,3,NZ_180830_s28.d,Find by Molecular Feature
1506,7152.0954,7153.7545,12.375,324990,87,1429.4118,TRUE,Cpd 1506: 12.375,,1429.813,Negative,-5,-5,12.343,12.518,21075,0.081,0.04,4,1,,371,1,NZ_180830_s28.d,Find by Molecular Feature
1474,7152.0645,7154.1801,12.314,65753,80,475.797,TRUE,Cpd 1474: 12.314,,475.932,Negative,-15,-15,12.202,12.426,3112,0.094,0.01,6,1,,368,32,NZ_180830_s28.d,Find by Molecular Feature
1495,7151.0928,7154.8135,12.317,87850496,100,649.0926,TRUE,Cpd 1495: 12.317,0.0073,649.3634,Negative,-3,-13,11.885,12.61,974211,0.12,11.78,149,11,S,368,32,NZ_180830_s28.d,Find by Molecular Feature
1511,7151.0776,7152.6095,12.557,57646,91,793.557,TRUE,Cpd 1511: 12.557,0.002,793.7787,Negative,-8,-9,12.518,12.701,4250,0.08,0.01,7,2,,374,2,NZ_180830_s28.d,Find by Molecular Feature
1486,7150.0687,7154.4439,12.315,273579,80,509.7119,TRUE,Cpd 1486: 12.315,,509.9987,Negative,-14,-14,12.218,12.443,10384,0.094,0.04,11,1,,368,32,NZ_180830_s28.d,Find by Molecular Feature
1499,7137.1409,7141.1518,12.318,130884,80,647.8237,TRUE,Cpd 1499: 12.318,0.0045,648.2766,Negative,-9,-11,12.127,12.451,2936,0.105,0.02,16,2,,368,32,NZ_180830_s28.d,Find by Molecular Feature
1487,7038.0047,7042.2577,12.316,533042,90,702.7937,TRUE,Cpd 1487: 12.316,0.0233,703.0945,Negative,-10,-12,12.027,12.476,6640,0.116,0.07,34,3,,368,32,NZ_180830_s28.d,Find by Molecular Feature
1494,7035.996,7041.7845,12.317,64532,80,780.7701,TRUE,Cpd 1494: 12.317,,781.2179,Negative,-9,-9,12.21,12.393,2036,0.072,0.01,12,1,,368,32,NZ_180830_s28.d,Find by Molecular Feature
1510,7017.0191,7018.1298,12.552,16071,80,700.6958,TRUE,Cpd 1510: 12.552,0.0315,700.8954,Negative,-9,-10,12.485,12.659,1139,0.087,0,5,2,,374,2,NZ_180830_s28.d,Find by Molecular Feature
1481,7016.0238,7019.6074,12.315,3224788,99.7,700.5955,TRUE,Cpd 1481: 12.315,0.0122,700.8959,Negative,-8,-14,12.118,12.526,47526,0.1,0.43,61,6,,368,32,NZ_180830_s28.d,Find by Molecular Feature
1491,6880.9764,6884.3753,12.316,102641,80,624.5377,TRUE,Cpd 1491: 12.316,0.0588,624.8996,Negative,-9,-11,12.177,12.41,2254,0.085,0.01,17,2,,368,32,NZ_180830_s28.d,Find by Molecular Feature
1478,6880.0225,6884.6252,12.314,109529,80,686.995,TRUE,Cpd 1478: 12.314,,687.5003,Negative,-10,-10,12.177,12.426,3337,0.101,0.01,11,1,,368,32,NZ_180830_s28.d,Find by Molecular Feature
1451,6867.006,6868.9586,12.04,13327,80,2287.9947,TRUE,Cpd 1451: 12.040,,2288.6565,Negative,-3,-3,11.985,12.102,852,0.063,0,5,1,,359,5,NZ_180830_s28.d,Find by Molecular Feature
1454,6845.0102,6846.6136,12.044,48517,80,2280.6642,TRUE,Cpd 1454: 12.044,0.0103,2281.3326,Negative,-3,-9,11.91,12.118,1136,0.073,0.01,16,4,,359,5,NZ_180830_s28.d,Find by Molecular Feature
