Cpd,Mass,RT,Avg Mass,Vol,Quality Score,m/z,Show/Hide,Label,Std Dev,Base Peak,Polarity,Max Z,Min Z,Start,End,Height,Width,Vol %,Ions,Z Count,Saturated,Group,Cpds/Group,File,Algorithm
1429,12998.7653,9.714,13001.5604,13950,80,2598.7458,TRUE,Cpd 1429: 9.714,,2599.3475,Negative,-5,-5,9.674,9.766,846,0.057,0,6,1,,369,20,NZ_180830_s29.d,Find by Molecular Feature
1420,12978.7974,9.709,12980.0248,15062,95.3,2162.1244,TRUE,Cpd 1420: 9.709,0.0099,2162.1244,Negative,-5,-6,9.674,9.774,862,0.052,0,7,2,,369,20,NZ_180830_s29.d,Find by Molecular Feature
1434,12897.6891,9.716,12900.8136,49117,80,2578.5286,TRUE,Cpd 1434: 9.716,0.0162,2579.1271,Negative,-5,-6,9.666,9.782,1506,0.06,0.01,14,2,,369,20,NZ_180830_s29.d,Find by Molecular Feature
1426,12875.7055,9.714,12878.9462,72486,80,1838.3809,TRUE,Cpd 1426: 9.714,0.027,1838.8097,Negative,-5,-9,9.666,9.791,1717,0.055,0.01,22,3,,369,20,NZ_180830_s29.d,Find by Molecular Feature
1548,10961.3556,11.355,10964.5895,60035,80,781.9469,TRUE,Cpd 1548: 11.355,0.0148,782.2998,Negative,-13,-14,11.248,11.556,2100,0.1,0.01,12,2,,398,1,NZ_180830_s29.d,Find by Molecular Feature
1581,7258.9816,11.809,7262.2718,105482,99.7,2418.6533,TRUE,Cpd 1581: 11.809,,2419.6502,Negative,-3,-3,11.539,11.997,2329,0.195,0.01,8,1,,404,16,NZ_180830_s29.d,Find by Molecular Feature
1601,7245.0019,12.308,7246.3198,9991,93,1447.9931,TRUE,Cpd 1601: 12.308,,1448.1953,Negative,-5,-5,12.222,12.43,859,0.084,0,4,1,,410,5,NZ_180830_s29.d,Find by Molecular Feature
1604,7242.9852,12.311,7246.5838,159192,80,657.4458,TRUE,Cpd 1604: 12.311,0.0119,657.6294,Negative,-4,-11,12.172,12.472,2353,0.112,0.02,24,3,,410,5,NZ_180830_s29.d,Find by Molecular Feature
1583,7237.1061,11.81,7240.8757,119623,87.2,602.0849,TRUE,Cpd 1583: 11.810,,602.3238,Negative,-12,-12,11.714,11.964,3786,0.111,0.02,10,1,,404,16,NZ_180830_s29.d,Find by Molecular Feature
1569,7236.9867,11.805,7240.1715,466275,80,2411.3202,TRUE,Cpd 1569: 11.805,0.0151,2412.323,Negative,-3,-13,11.523,12.014,4443,0.2,0.06,26,4,,403,7,NZ_180830_s29.d,Find by Molecular Feature
1584,7235.9944,11.81,7240.3348,134014,80,903.4918,TRUE,Cpd 1584: 11.810,0.0051,903.9901,Negative,-6,-8,11.706,11.981,2654,0.103,0.02,20,2,,404,16,NZ_180830_s29.d,Find by Molecular Feature
1529,7232.9875,10.848,7234.0185,20571,80,2409.9909,TRUE,Cpd 1529: 10.848,0.0299,2410.3279,Negative,-3,-8,10.79,10.906,813,0.065,0,11,4,,393,3,NZ_180830_s29.d,Find by Molecular Feature
1605,7222.0095,12.314,7224.3361,17867,80,2406.3292,TRUE,Cpd 1605: 12.314,,2406.6627,Negative,-3,-3,12.247,12.397,1006,0.077,0,6,1,,410,5,NZ_180830_s29.d,Find by Molecular Feature
1603,7221.0091,12.311,7224.5703,1201823,80,721.093,TRUE,Cpd 1603: 12.311,0.0111,721.3937,Negative,-4,-12,12.072,12.488,12513,0.114,0.17,66,8,,410,5,NZ_180830_s29.d,Find by Molecular Feature
1602,7219.1542,12.309,7224.6927,457280,80,655.2795,TRUE,Cpd 1602: 12.309,,655.721,Negative,-11,-11,12.18,12.447,17034,0.106,0.06,16,1,,410,5,NZ_180830_s29.d,Find by Molecular Feature
1572,7216.0013,11.807,7218.9071,2965945,100,720.593,TRUE,Cpd 1572: 11.807,0.0035,720.7929,Negative,-9,-10,11.639,12.014,55092,0.117,0.41,23,2,,404,16,NZ_180830_s29.d,Find by Molecular Feature
1573,7215.0119,11.807,7218.4807,1984728,100,1029.708,TRUE,Cpd 1573: 11.807,0.0088,1030.1365,Negative,-3,-14,11.514,12.031,12925,0.16,0.27,56,6,,404,16,NZ_180830_s29.d,Find by Molecular Feature
1582,7214.0337,11.809,7217.2819,4428625,100,654.8152,TRUE,Cpd 1582: 11.809,0.021,655.1749,Negative,-10,-12,11.514,12.072,82159,0.118,0.61,27,3,,404,16,NZ_180830_s29.d,Find by Molecular Feature
1585,7213.029,11.811,7218.672,608018,100,900.6214,TRUE,Cpd 1585: 11.811,,901.2425,Negative,-8,-8,11.631,12.056,17932,0.11,0.08,15,1,,404,16,NZ_180830_s29.d,Find by Molecular Feature
1567,7211.0063,11.804,7216.9572,166750,80,553.6861,TRUE,Cpd 1567: 11.804,0.0286,554.1463,Negative,-6,-13,11.631,11.964,4018,0.107,0.02,19,2,,403,7,NZ_180830_s29.d,Find by Molecular Feature
1528,7209.01,10.846,7212.469,1009093,100,654.3567,TRUE,Cpd 1528: 10.846,0.0104,654.6301,Negative,-4,-12,10.665,11.006,12558,0.108,0.14,50,6,,393,3,NZ_180830_s29.d,Find by Molecular Feature
1565,7208.9973,11.802,7211.1732,589142,95,654.3552,TRUE,Cpd 1565: 11.802,0.0171,654.6308,Negative,-9,-11,11.514,12.006,9863,0.17,0.08,16,3,,403,7,NZ_180830_s29.d,Find by Molecular Feature
1587,7208.0118,11.819,7210.0728,39899,89.6,1028.7099,TRUE,Cpd 1587: 11.819,0.01,1029.5672,Negative,-7,-8,11.681,11.981,988,0.105,0.01,11,2,,405,1,NZ_180830_s29.d,Find by Molecular Feature
1571,7193.0274,11.807,7196.7181,55442324,100,652.9049,TRUE,Cpd 1571: 11.807,0.0069,653.176,Negative,-3,-15,11.564,12.056,664436,0.115,7.64,135,11,,404,16,NZ_180830_s29.d,Find by Molecular Feature
1570,7192.0089,11.806,7196.6576,898119,97.1,552.2242,TRUE,Cpd 1570: 11.806,,552.5322,Negative,-13,-13,11.648,11.964,28452,0.107,0.12,15,1,,403,7,NZ_180830_s29.d,Find by Molecular Feature
1568,7190.9817,11.804,7196.4666,195970,80,512.6343,TRUE,Cpd 1568: 11.804,,512.9221,Negative,-14,-14,11.631,11.914,6925,0.094,0.03,13,1,,403,7,NZ_180830_s29.d,Find by Molecular Feature
1586,7174.0196,11.812,7176.6832,62530,80,2426.3092,TRUE,Cpd 1586: 11.812,0.0003,2426.977,Negative,-3,-9,11.639,11.964,1181,0.139,0.01,15,2,,404,16,NZ_180830_s29.d,Find by Molecular Feature
1574,7081.9914,11.808,7085.3493,62735,80.4,707.1919,TRUE,Cpd 1574: 11.808,,707.3913,Negative,-10,-10,11.689,11.939,2370,0.103,0.01,9,1,,404,16,NZ_180830_s29.d,Find by Molecular Feature
1575,7058.0939,11.808,7061.8571,133930,80,704.8021,TRUE,Cpd 1575: 11.808,,705.0911,Negative,-10,-10,11.631,11.956,3375,0.125,0.02,11,1,,404,16,NZ_180830_s29.d,Find by Molecular Feature
1566,7057.9637,11.803,7062.1057,186536,80,640.6262,TRUE,Cpd 1566: 11.803,0.0137,640.808,Negative,-9,-11,11.681,11.939,4150,0.102,0.03,23,2,,403,7,NZ_180830_s29.d,Find by Molecular Feature
1577,7041.0089,11.808,7045.2366,122832,80,639.0816,TRUE,Cpd 1577: 11.808,0.0871,639.4449,Negative,-10,-11,11.648,11.922,2556,0.09,0.02,20,2,,404,16,NZ_180830_s29.d,Find by Molecular Feature
1559,6847.9696,11.629,6851.382,605416,99.2,759.8789,TRUE,Cpd 1559: 11.629,0.0105,760.2112,Negative,-9,-11,11.473,11.822,8881,0.099,0.08,28,3,,400,7,NZ_180830_s29.d,Find by Molecular Feature
1492,6781.8634,9.912,6785.1561,270060,80,752.5331,TRUE,Cpd 1492: 9.912,0.0004,752.869,Negative,-9,-10,9.774,10.091,6107,0.108,0.04,18,2,,379,5,NZ_180830_s29.d,Find by Molecular Feature
1549,6565.9091,11.61,6567.5358,51646,80,655.5831,TRUE,Cpd 1549: 11.610,0.0152,655.6827,Negative,-4,-10,11.531,11.673,2796,0.073,0.01,18,4,,399,4,NZ_180830_s29.d,Find by Molecular Feature
1552,6564.9298,11.614,6568.3408,168690,80,728.4304,TRUE,Cpd 1552: 11.614,0.0462,728.7601,Negative,-3,-9,11.498,11.747,3848,0.098,0.02,25,3,,399,4,NZ_180830_s29.d,Find by Molecular Feature
1499,6560.7981,9.963,6562.571,11715,80,2185.9254,TRUE,Cpd 1499: 9.963,,2186.9147,Negative,-3,-3,9.849,10.024,957,0.075,0,4,1,,381,3,NZ_180830_s29.d,Find by Molecular Feature
1550,6542.9287,11.612,6546.1904,1153241,100,725.985,TRUE,Cpd 1550: 11.612,0.0164,726.3182,Negative,-3,-11,11.456,11.797,24955,0.104,0.16,59,8,,399,4,NZ_180830_s29.d,Find by Molecular Feature
1497,6538.7903,9.96,6541.7748,162998,94.7,725.5248,TRUE,Cpd 1497: 9.960,0.0105,725.7451,Negative,-3,-9,9.683,10.132,3932,0.114,0.02,24,3,,381,3,NZ_180830_s29.d,Find by Molecular Feature
1478,6524.7666,9.782,6527.49,51765,80,2173.9149,TRUE,Cpd 1478: 9.782,,2174.581,Negative,-3,-3,9.641,9.957,1415,0.143,0.01,7,1,,374,4,NZ_180830_s29.d,Find by Molecular Feature
1419,6524.7652,9.647,6526.6159,29611,80,2173.9145,TRUE,Cpd 1419: 9.647,,2174.9155,Negative,-3,-3,9.449,9.708,1581,0.149,0,4,1,,368,1,NZ_180830_s29.d,Find by Molecular Feature
1498,6516.7915,9.96,6519.9909,1267280,100,723.0808,TRUE,Cpd 1498: 9.960,0.0075,723.3026,Negative,-3,-10,9.699,10.132,24199,0.105,0.17,62,8,,381,3,NZ_180830_s29.d,Find by Molecular Feature
1472,6480.7959,9.728,6483.9173,563872,95.1,2159.2584,TRUE,Cpd 1472: 9.728,0.0064,2159.9262,Negative,-3,-7,9.424,9.974,6107,0.229,0.08,31,4,,372,4,NZ_180830_s29.d,Find by Molecular Feature
1455,6476.7978,9.719,6482.483,516705,87.6,718.6369,TRUE,Cpd 1455: 9.719,,719.3026,Negative,-9,-9,9.433,9.907,10538,0.158,0.07,11,1,,370,30,NZ_180830_s29.d,Find by Molecular Feature
1430,6475.8029,9.715,6477.4448,253474,80,808.4662,TRUE,Cpd 1430: 9.715,0.0178,809.3415,Negative,-8,-9,9.549,9.949,4078,0.148,0.03,14,2,,369,20,NZ_180830_s29.d,Find by Molecular Feature
1474,6469.8399,9.73,6471.8073,239225,80,717.863,TRUE,Cpd 1474: 9.730,0.021,717.863,Negative,-8,-9,9.574,9.941,5861,0.118,0.03,11,2,,372,4,NZ_180830_s29.d,Find by Molecular Feature
1495,6466.8226,9.915,6467.837,323126,80,717.5283,TRUE,Cpd 1495: 9.915,0.0088,717.6394,Negative,-3,-10,9.782,10.116,9690,0.138,0.04,23,8,,379,5,NZ_180830_s29.d,Find by Molecular Feature
1461,6458.818,9.721,6461.7341,7601117,100,716.6392,TRUE,Cpd 1461: 9.721,0.0046,716.861,Negative,-3,-13,9.433,9.957,143304,0.143,1.05,56,7,,370,30,NZ_180830_s29.d,Find by Molecular Feature
1444,6457.8397,9.718,6458.8796,2389202,98.6,806.2228,TRUE,Cpd 1444: 9.718,0.0034,806.5941,Negative,-8,-12,9.499,9.932,50281,0.146,0.33,21,3,,370,30,NZ_180830_s29.d,Find by Molecular Feature
1476,6455.8158,9.754,6456.9015,23968,99.6,921.2521,TRUE,Cpd 1476: 9.754,,921.5411,Negative,-7,-7,9.699,9.891,1572,0.104,0,3,1,,373,1,NZ_180830_s29.d,Find by Molecular Feature
1442,6453.9421,9.717,6461.2171,450902,80,585.7147,TRUE,Cpd 1442: 9.717,,586.3389,Negative,-11,-11,9.566,9.916,14001,0.125,0.06,15,1,,370,30,NZ_180830_s29.d,Find by Molecular Feature
1436,6453.831,9.716,6457.2439,2886009,80,644.3805,TRUE,Cpd 1436: 9.716,0.0551,645.074,Negative,-5,-10,9.483,9.924,59080,0.133,0.4,22,3,,369,20,NZ_180830_s29.d,Find by Molecular Feature
1422,6449.8284,9.711,6451.1511,9748,100,1611.4498,TRUE,Cpd 1422: 9.711,,1611.4498,Negative,-4,-4,9.674,9.766,988,0.05,0,4,1,,369,20,NZ_180830_s29.d,Find by Molecular Feature
1468,6449.3856,9.723,6451.1442,90655,80,715.5932,TRUE,Cpd 1468: 9.723,0.0415,715.6953,Negative,-4,-9,9.599,9.941,14600,0.095,0.01,9,2,,370,30,NZ_180830_s29.d,Find by Molecular Feature
