Show/Hide,Cpd,File,ID Source,Name,Formula,Saturated,RT,m/z,Mass,Score,Score (Lib),Score (DB),Score (MFG),RT Diff (Tgt),"Diff (Tgt, ppm)","Diff (DB, ppm)","Diff (MFG, ppm)",Polarity,Ions,Height,Area,Vol,Hits (DB),Algorithm,Library,Uncertainty,Significance,Quality Score,FIs Conf.,FIs Conf. %,FIs Eval.,Source,Flag Severity (Tgt)
TRUE,371,SLZ_200313_09.d,,,,,0.964,350.6855,351.6928,,,,,,,,,Negative,4,4387,,51404,,Find by Molecular Feature,,,,51.9,,,,,
TRUE,35,SLZ_200313_09.d,,,,,0.638,350.8532,351.8605,,,,,,,,,Negative,2,8485,,45221,,Find by Molecular Feature,,,,41.9,,,,,
TRUE,139,SLZ_200313_09.d,,,,,0.727,386.9072,351.9383,,,,,,,,,Negative,3,6889,,54494,,Find by Molecular Feature,,,,46.3,,,,,
TRUE,3725,SLZ_200313_09.d,,,,,60.59,350.9886,351.9958,,,,,,,,,Negative,2,134371,,1130192,,Find by Molecular Feature,,,,48.2,,,,,
TRUE,4160,SLZ_200313_09.d,,,,,62.956,350.9886,351.9959,,,,,,,,,Negative,3,340200,,6075940,,Find by Molecular Feature,,,,87,,,,,
TRUE,3698,SLZ_200313_09.d,,,,,59.768,350.9889,351.9961,,,,,,,,,Negative,2,191671,,8858552,,Find by Molecular Feature,,,,42.6,,,,,
TRUE,92,SLZ_200313_09.d,,,,,0.693,351.0068,352.014,,,,,,,,,Negative,5,97573,,783743,,Find by Molecular Feature,,,,67.8,,,,,
TRUE,4192,SLZ_200313_09.d,,,,,63.398,352.8611,353.8684,,,,,,,,,Negative,3,4915,,110509,,Find by Molecular Feature,,,,66.8,,,,,
TRUE,1008,SLZ_200313_09.d,,,,,1.274,352.9422,353.9495,,,,,,,,,Negative,3,15725,,529636,,Find by Molecular Feature,,,,64.2,,,,,
TRUE,266,SLZ_200313_09.d,,,,,0.905,353.0381,354.0454,,,,,,,,,Negative,3,10217,,137416,,Find by Molecular Feature,,,,48.5,,,,,
TRUE,26,SLZ_200313_09.d,,,,,0.596,354.8844,355.8916,,,,,,,,,Negative,3,17377,,108007,,Find by Molecular Feature,,,,35,,,,,
TRUE,42,SLZ_200313_09.d,,,,,0.661,354.9242,355.9315,,,,,,,,,Negative,2,22232,,114905,,Find by Molecular Feature,,,,57.5,,,,,
TRUE,124,SLZ_200313_09.d,,,,,0.711,354.9589,355.9661,,,,,,,,,Negative,2,6438,,30508,,Find by Molecular Feature,,,,33.5,,,,,
TRUE,3743,SLZ_200313_09.d,,,,,62.112,356.1856,357.1929,,,,,,,,,Negative,3,10131,,89057,,Find by Molecular Feature,,,,49.3,,,,,
TRUE,4040,SLZ_200313_09.d,,,,,62.75,356.1857,357.193,,,,,,,,,Negative,2,2622,,35959,,Find by Molecular Feature,,,,63.7,,,,,
TRUE,1009,SLZ_200313_09.d,,,,,1.275,356.9761,357.9833,,,,,,,,,Negative,3,307485,,8968205,,Find by Molecular Feature,,,,60,,,,,
TRUE,3700,SLZ_200313_09.d,,,,,59.792,357.9789,358.9862,,,,,,,,,Negative,3,30336,,1158257,,Find by Molecular Feature,,,,58.6,,,,,
TRUE,19,SLZ_200313_09.d,,,,,0.572,358.84,359.8473,,,,,,,,,Negative,6,74866,,407054,,Find by Molecular Feature,,,,35,,,,,
TRUE,305,SLZ_200313_09.d,,,,,0.948,360.0648,361.0721,,,,,,,,,Negative,2,19953,,110679,,Find by Molecular Feature,,,,47.5,,,,,
TRUE,123,SLZ_200313_09.d,,,,,0.711,360.8812,361.8885,,,,,,,,,Negative,7,27113,,469133,,Find by Molecular Feature,,,,68.9,,,,,
TRUE,172,SLZ_200313_09.d,,,,,0.776,362.0494,363.0566,,,,,,,,,Negative,3,48266,,503201,,Find by Molecular Feature,,,,87.8,,,,,
TRUE,154,SLZ_200313_09.d,,,,,0.757,362.9439,363.9512,,,,,,,,,Negative,2,4064,,41540,,Find by Molecular Feature,,,,49.7,,,,,
TRUE,199,SLZ_200313_09.d,,,,,0.797,365.8685,366.8757,,,,,,,,,Negative,2,4932,,34098,,Find by Molecular Feature,,,,81.4,,,,,
TRUE,480,SLZ_200313_09.d,,,,,0.98,366.9786,367.9859,,,,,,,,,Negative,3,129462,,1053404,,Find by Molecular Feature,,,,90,,,,,
TRUE,208,SLZ_200313_09.d,,,,,0.811,366.9835,367.9908,,,,,,,,,Negative,4,71337,,458299,,Find by Molecular Feature,,,,38.8,,,,,
TRUE,1011,SLZ_200313_09.d,,,,,1.994,366.9837,367.9909,,,,,,,,,Negative,2,21307,,994649,,Find by Molecular Feature,,,,36.9,,,,,
TRUE,46,SLZ_200313_09.d,,,,,0.662,366.9838,367.9911,,,,,,,,,Negative,2,94278,,691046,,Find by Molecular Feature,,,,66.4,,,,,
TRUE,3,SLZ_200313_09.d,,,,,0.176,367.9867,368.9939,,,,,,,,,Negative,2,6708,,91056,,Find by Molecular Feature,,,,38.4,,,,,
TRUE,15,SLZ_200313_09.d,,,,,0.424,367.9867,368.994,,,,,,,,,Negative,2,6695,,90503,,Find by Molecular Feature,,,,58.3,,,,,
TRUE,142,SLZ_200313_09.d,,,,,0.729,368.0367,369.044,,,,,,,,,Negative,2,10690,,64263,,Find by Molecular Feature,,,,61.4,,,,,
TRUE,132,SLZ_200313_09.d,,,,,0.719,368.8832,369.8905,,,,,,,,,Negative,2,10027,,57926,,Find by Molecular Feature,,,,54,,,,,
TRUE,3756,SLZ_200313_09.d,,,,,62.181,370.201,371.2082,,,,,,,,,Negative,4,10639,,74238,,Find by Molecular Feature,,,,31.1,,,,,
TRUE,4166,SLZ_200313_09.d,,,,,63.147,370.8044,371.8106,,,,,,,,,Negative,4,2372,,63111,,Find by Molecular Feature,,,,35,,,,,
TRUE,198,SLZ_200313_09.d,,,,,0.796,370.8623,371.8696,,,,,,,,,Negative,3,25047,,279421,,Find by Molecular Feature,,,,100,,,,,
TRUE,200,SLZ_200313_09.d,,,,,0.799,372.4399,373.4472,,,,,,,,,Negative,3,2791,,13979,,Find by Molecular Feature,,,,35,,,,,
TRUE,17,SLZ_200313_09.d,,,,,0.571,372.9123,373.9196,,,,,,,,,Negative,2,12160,,48182,,Find by Molecular Feature,,,,43.1,,,,,
TRUE,71,SLZ_200313_09.d,,,,,0.684,374.9777,375.985,,,,,,,,,Negative,6,17074,,179028,,Find by Molecular Feature,,,,58.2,,,,,
TRUE,3828,SLZ_200313_09.d,,,,,62.411,375.2734,376.2807,,,,,,,,,Negative,4,40750,,4418140,,Find by Molecular Feature,,,,60,,,,,
